kind,run_name,model,window,split,loss,mae,rmse,r2,x_n2_r2,aitchison_mean,sum_abs_error,checkpoint_path
ml,ridge_all_modalities,ridge,full,train,,2.582798153040667,3.875643515488795,0.8050445064658869,0.24334487874072763,,,
ml,ridge_all_modalities,ridge,full,val,,2.621623431842826,3.930793164425509,0.7978772637315165,0.23149794321770534,,,
ml,ridge_all_modalities,ridge,full,test,,2.650241662857394,3.981043428436567,0.7967948545218538,0.21733758622178945,,,
ml,ridge_all_modalities,ridge,full,extrapolation,,2.6286389861657518,3.9603905646595,0.7965865707500606,0.22727220685486604,,,
ml,ridge_multiwindow_all_modalities,ridge,multi:full+exp+rec,train,,1.4943291501009177,2.289628163805289,0.9319578939502144,0.7413688757539192,,,
ml,ridge_multiwindow_all_modalities,ridge,multi:full+exp+rec,val,,1.5121979340370875,2.3161051709508564,0.9298267910233124,0.7396519486335873,,,
ml,ridge_multiwindow_all_modalities,ridge,multi:full+exp+rec,test,,1.5428619469347662,2.41333913227533,0.9253245960853892,0.7120680632686929,,,
ml,ridge_multiwindow_all_modalities,ridge,multi:full+exp+rec,extrapolation,,1.5216474702581764,2.4074654126635697,0.9248336087807596,0.7247022446051943,,,
