kind,run_name,model,window,split,loss,mae,rmse,r2,x_n2_r2,aitchison_mean,sum_abs_error,checkpoint_path
ml,ridge_all_modalities,ridge,full,train,,2.582798153040667,3.875643515488795,0.8050445064658869,0.24334487874072763,,,
ml,ridge_all_modalities,ridge,full,val,,2.621623431842826,3.930793164425509,0.7978772637315165,0.23149794321770534,,,
ml,ridge_all_modalities,ridge,full,test,,2.650241662857394,3.981043428436567,0.7967948545218538,0.21733758622178945,,,
ml,ridge_all_modalities,ridge,full,extrapolation,,2.6286389861657518,3.9603905646595,0.7965865707500606,0.22727220685486604,,,
ml,ridge_all_modalities_phase_exposure,ridge,phase:exposure,train,,2.3601174658906947,3.292109453747906,0.8593316600749658,0.6407052739387642,,,
ml,ridge_all_modalities_phase_exposure,ridge,phase:exposure,val,,2.36155567513145,3.3184946724905275,0.8559421150632827,0.6502282956153089,,,
ml,ridge_all_modalities_phase_exposure,ridge,phase:exposure,test,,2.4408910552357943,3.4711574385794814,0.8455138698054848,0.6014311111356191,,,
ml,ridge_all_modalities_phase_exposure,ridge,phase:exposure,extrapolation,,2.327840469845299,3.2761430227597605,0.8608031866340076,0.6470073282022186,,,
ml,ridge_all_modalities_phase_recovery,ridge,phase:recovery,train,,2.218833851410988,3.1044673898033794,0.8749101605987561,0.6011016541217113,,,
ml,ridge_all_modalities_phase_recovery,ridge,phase:recovery,val,,2.250695798580871,3.1529860674314554,0.869953434227503,0.6017161541079201,,,
ml,ridge_all_modalities_phase_recovery,ridge,phase:recovery,test,,2.3022056290175534,3.2577589857820697,0.8639248652634604,0.5767205271062099,,,
ml,ridge_all_modalities_phase_recovery,ridge,phase:recovery,extrapolation,,2.3126967803807927,3.278043202500934,0.8606416700772923,0.5885706347013606,,,
ml,ridge_all_modalities_early_050,ridge,early:0.50,train,,2.7388127788182186,3.8096512530139313,0.8116271657664098,0.4802068358093802,,,
ml,ridge_all_modalities_early_050,ridge,early:0.50,val,,2.7186867446502827,3.791131626803422,0.8119849947667992,0.4818731719018966,,,
ml,ridge_all_modalities_early_050,ridge,early:0.50,test,,2.8755380545634157,4.03150521799125,0.7916107446470384,0.4292844212273572,,,
ml,ridge_all_modalities_early_050,ridge,early:0.50,extrapolation,,2.7064204379416092,3.821151366277406,0.8106383320399548,0.491100560868282,,,
ml,ridge_all_modalities_early_075,ridge,early:0.75,train,,2.344604347448838,3.4746487887631026,0.8432997615560325,0.3901993615220801,,,
ml,ridge_all_modalities_early_075,ridge,early:0.75,val,,2.3370335228533237,3.4501893406283495,0.8442813453938816,0.4018583194441673,,,
ml,ridge_all_modalities_early_075,ridge,early:0.75,test,,2.453920674978872,3.616617648548005,0.8322949792084778,0.3464524464671469,,,
ml,ridge_all_modalities_early_075,ridge,early:0.75,extrapolation,,2.3202044174990926,3.4636027265737916,0.844417862873937,0.3993350869466179,,,
dl,cnn1d_tcn_fusion,cnn1d_tcn_fusion,full,val,22.463542938232422,3.544689655303955,4.740015983581543,0.706089973449707,-0.01220083236694336,,2.136230477844947e-06,outputs/runs/phaseaware_best_models/cnn1d_tcn_fusion/checkpoint.pt
dl,cnn1d_tcn_fusion,cnn1d_tcn_fusion,full,test,22.180844507719343,3.520754337310791,4.71853494644165,0.7145334482192993,-0.006442070007324219,,1.8819173419615254e-06,outputs/runs/phaseaware_best_models/cnn1d_tcn_fusion/checkpoint.pt
dl,cnn1d_tcn_fusion,cnn1d_tcn_fusion,full,extrapolation,21.813298476369756,3.441293239593506,4.674148082733154,0.7166595458984375,-0.003661036491394043,,2.0853678961429978e-06,outputs/runs/phaseaware_best_models/cnn1d_tcn_fusion/checkpoint.pt
dl,cnn1d_tcn_fusion_phase_exposure,cnn1d_tcn_fusion,phase:exposure,val,23.97546477066843,3.7461729049682617,4.891108512878418,0.6870540380477905,-0.007886886596679688,,1.678466787780053e-06,outputs/runs/phaseaware_best_models/cnn1d_tcn_fusion_phase_exposure/checkpoint.pt
dl,cnn1d_tcn_fusion_phase_exposure,cnn1d_tcn_fusion,phase:exposure,test,24.317660130952532,3.7687976360321045,4.935980796813965,0.6876166462898254,-0.0004292726516723633,,1.8819173419615254e-06,outputs/runs/phaseaware_best_models/cnn1d_tcn_fusion_phase_exposure/checkpoint.pt
dl,cnn1d_tcn_fusion_phase_exposure,cnn1d_tcn_fusion,phase:exposure,extrapolation,23.75861127753007,3.714829206466675,4.880064964294434,0.6911448836326599,0.008996546268463135,,2.0853678961429978e-06,outputs/runs/phaseaware_best_models/cnn1d_tcn_fusion_phase_exposure/checkpoint.pt
dl,cnn1d_tcn_fusion_phase_recovery,cnn1d_tcn_fusion,phase:recovery,val,24.532962263676158,3.755953073501587,4.9613471031188965,0.6780014038085938,-0.0001537799835205078,,1.8903944010162377e-06,outputs/runs/phaseaware_best_models/cnn1d_tcn_fusion_phase_recovery/checkpoint.pt
dl,cnn1d_tcn_fusion_phase_recovery,cnn1d_tcn_fusion,phase:recovery,test,26.126796521638568,3.849911689758301,5.126636981964111,0.6630185842514038,-0.003104567527770996,,1.9200642782379873e-06,outputs/runs/phaseaware_best_models/cnn1d_tcn_fusion_phase_recovery/checkpoint.pt
dl,cnn1d_tcn_fusion_phase_recovery,cnn1d_tcn_fusion,phase:recovery,extrapolation,23.775779975088017,3.6440837383270264,4.890230178833008,0.6898568868637085,0.0050293803215026855,,2.059936605292023e-06,outputs/runs/phaseaware_best_models/cnn1d_tcn_fusion_phase_recovery/checkpoint.pt
