domain,n_resamples,ci_level,relative_improvement_point,relative_improvement_ci_lower,relative_improvement_ci_upper,practical_equivalence_band,clears_band,S1_p90_abs_err_o2,S2_p90_abs_err_o2
test,2000,0.95,0.0278,0.0116,0.0735,0.02,False,1.6604,1.6142
ood,2000,0.95,0.0245,0.0074,0.0541,0.02,False,0.7161,0.6985
